"Taxa footnotes, ""[a]"", are found in Column C.",Literature or other reference., Footnotes from respective pages of Cannell (1982).,Original table order for sorting purposes.,years,log10 years,m,log10 m,kg dry wgt per plant,log10 kg dry wgt per plant,kg dry wgt per plant,log10 kg dry wgt per plant,kg dry wgt per plant,log10 kg dry wgt per plant,kg dry wgt per plant,log10 kg dry wgt per plant,kg dry wgt per plant,log10 kg dry wgt per plant,kg dry wgt per plant,log10 kg dry wgt per plant,kg dry wgt gained per plant per year,log10 kg dry wgt gained per plant per year,kg dry wgt gained per plant per year,log10 kg dry wgt gained per plant per year,kg dry wgt gained per plant per year,log10 kg dry wgt gained per plant per year,kg dry wgt gained per plant per year,log10 kg dry wgt gained per plant per year
Acacia harpophylla with a few Geijera parviflora,Cannell M.G.R. (1982) World Forest Biomass and Primary Production Data. Academic Press. London.  Page 7,,1,-999,-999,8,0.90309,10.18041237,1.007765,61.40463918,1.788201,4.961340206,0.695599,66.3659794,1.821946,-999,-999,76.54639175,1.883924724,-999,-999,-999,-999,-999,-999,-999,-999
Eucalyptus diversicolor,Cannell (1982).   Page 8,,2,36,1.556303,30,1.477121,-999,-999,497.0454545,2.696396,10.22727273,1.00976,507.272727,2.705242,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Eucalyptus diversicolor and Eucalyptus calophylla,Cannell (1982).   Page 8,,3,-999,-999,25,1.39794,-999,-999,627.1689498,2.797385,20.3196347,1.307916,647.488584,2.811232,1.141552511,0.057496,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Eucalyptus globulus,Cannell (1982).   Page 9,,4,4,0.60206,4.3,0.633468,-999,-999,2.23132969,0.348564,0.500910747,-0.30024,2.73224044,0.436519,-999,-999,-999,-999,1.06102105,0.025724,0.359741052,-0.44401,-999,-999,-999,-999
Eucalyptus globulus,Cannell (1982).   Page 9,,5,4,0.60206,6.5,0.812913,-999,-999,5.692167577,0.755278,1.138433515,0.056308,6.83060109,0.834459,-999,-999,-999,-999,2.244993046,0.351215,0.956290849,-0.01941,-999,-999,-999,-999
Eucalyptus globulus,Cannell (1982).   Page 9,,6,4,0.60206,7.2,0.857332,-999,-999,7.877959927,0.896414,1.50273224,0.176882,9.38069217,0.972235,-999,-999,-999,-999,3.050998541,0.484442,1.297815629,0.113213,-999,-999,-999,-999
Eucalyptus globulus,Cannell (1982).   Page 9,,7,4,0.60206,7.8,0.892095,-999,-999,10.70127505,1.029436,2.367941712,0.374371,13.0692168,1.11625,-999,-999,-999,-999,4.389802687,0.642445,1.830602284,0.262594,-999,-999,-999,-999
Eucalyptus globulus,Cannell (1982).   Page 10,,8,9.5,0.977724,-999,-999,-999,-999,12.06739526,1.081614,1.821493625,0.260428,13.8888889,1.142668,-999,-999,-999,-999,1.867033025,0.271152,1.183970823,0.073341,-999,-999,-999,-999
Eucalyptus globulus,Cannell (1982).   Page 10,,9,9.5,0.977724,-999,-999,-999,-999,24.18032787,1.383462,2.322404372,0.365938,26.5027322,1.423291,-999,-999,-999,-999,3.415301116,0.533429,1.730417904,0.238151,-999,-999,-999,-999
Eucalyptus globulus,Cannell (1982).   Page 10,,10,9.5,0.977724,-999,-999,-999,-999,30.78324226,1.488314,3.051001821,0.484442,33.8342441,1.529356,-999,-999,-999,-999,4.234976454,0.626851,2.276868769,0.357338,-999,-999,-999,-999
Eucalyptus globulus,Cannell (1982).   Page 10,,11,9.5,0.977724,-999,-999,-999,-999,34.10746812,1.532849,3.005464481,0.477912,37.1129326,1.569525,-999,-999,-999,-999,4.417117987,0.645139,2.686705102,0.42922,-999,-999,-999,-999
Eucalyptus grandis,Cannell (1982).   Page 11,,12,2,0.30103,-999,-999,-999,-999,14.45783133,1.160103,3.915662651,0.592805,18.373494,1.264192,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Eucalyptus grandis,Cannell (1982).   Page 11,,13,5,0.69897,-999,-999,-999,-999,49.63579605,1.695795,4.682622268,0.670489,54.3184183,1.734947,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Eucalyptus grandis,Cannell (1982).   Page 11,,14,6,0.778151,-999,-999,-999,-999,31.48148148,1.498055,2.469135802,0.392545,33.9506173,1.530848,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
