index,age_yr,age_class,ppt_mm,GSppt_mm,GSinvkT,AinvkT,GSinvBoltzT,AinvBoltzT,lgs_mo,biomass_gm2,anpp_gm2y,ln_biomass,ln_npp,alpha,npp_gs,ln_npp_gs,npp_M,ln_npp_M,npp_gs_M,ln_npp_gs_M,T_gs,T_ma
1,4,0-40,1863.1,1863.1,40.0816265,40.0816265,40.11068427,40.11068427,12,8100,3350,8.999619341,8.116715625,0.995,279.1666667,5.631808975,0.432615637,-0.837905619,0.036051303,-3.322812269,16.38333333,16.38333333
2,9.2,0-40,1441.1,670.4,40.3861734,41.59237892,40.39470534,41.63856056,6,2320,1600,7.749322465,7.377758908,0.995,266.6666667,5.585999439,0.716901415,-0.332816944,0.119483569,-2.124576413,14.2,5.866666667
3,20,0-40,857.4,297.5,40.50834927,41.45864933,40.51585054,41.48867184,6,2520,630,7.832014181,6.445719819,0.995,105,4.65396035,0.259984233,-1.34713429,0.043330706,-3.138893759,13.33333333,6.766666667
4,20,0-40,1652.2,1386.2,40.04992684,40.71322997,40.06225809,40.74466058,8,8530,1860,9.05134464,7.528331767,0.995,232.5,5.448890225,0.228149047,-1.477756151,0.028518631,-3.557197692,16.6125,11.89166667
5,22,0-40,574.6,372.3,40.8338034,42.08128701,40.84333597,42.13160494,6,3210,438,8.074026216,6.08221891,0.995,73,4.290459441,0.142069746,-1.951437175,0.023678291,-3.743196644,11.05,2.625
6,23,0-40,2032.6,521.6,40.8745533,41.67702254,40.87957588,41.69677579,6,7380,785,8.906528918,6.665683718,0.995,130.8333333,4.873924249,0.111212493,-2.196312555,0.018535416,-3.988072024,10.76666667,5.3
7,26,0-40,1689.1,1689.1,41.02990575,41.02990575,41.03833326,41.03833326,12,23110,4370,10.0480207,8.382518288,0.995,364.1666667,5.897611638,0.198838506,-1.615262312,0.016569875,-4.100168961,9.691666667,9.691666667
8,28,0-40,601.3,365.3,40.8433843,41.9823349,40.850742,42.02329172,6,2410,348,7.787382026,5.85220248,0.995,58,4.060443011,0.15013166,-1.896242637,0.025021943,-3.688002106,10.98333333,3.275
9,37,0-40,574.6,372.3,40.8338034,42.08128701,40.84333597,42.13160494,6,3490,339,8.157657015,5.826000107,0.995,56.5,4.034240638,0.101178538,-2.290868623,0.01686309,-4.082628092,11.05,2.625
10,37,0-40,574.6,372.3,40.8338034,42.08128701,40.84333597,42.13160494,6,7610,629,8.937218451,6.444131257,0.995,104.8333333,4.652371787,0.086431672,-2.448401102,0.014405279,-4.240160571,11.05,2.625
11,38,0-40,574.6,372.3,40.8338034,42.08128701,40.84333597,42.13160494,6,10570,834,9.265775079,6.726233402,0.995,139,4.934473933,0.082644021,-2.493212801,0.013774003,-4.28497227,11.05,2.625
12,39,0-40,574.6,372.3,40.8338034,42.08128701,40.84333597,42.13160494,6,8420,707,9.038365107,6.561030666,0.995,117.8333333,4.769271197,0.087848405,-2.432142616,0.014641401,-4.223902085,11.05,2.625
13,40,0-40,555.1,351.2,40.78596623,41.94819059,40.79380965,41.99114362,6,11410,1066,9.342245443,6.971668605,0.995,177.6666667,5.179909135,0.097894431,-2.323865611,0.016315739,-4.11562508,11.38333333,3.5
14,40,0-40,1216.2,1216.2,40.77521831,40.77521831,40.7872453,40.7872453,12,29970,1321,10.30795216,7.186144305,0.995,110.0833333,4.701237655,0.046408711,-3.070268095,0.003867393,-5.555174745,11.45833333,11.45833333
