curveID,T_C,Rate,Source
1,10.68195464,8.042011491,"Michaletz ST, Weiser MD, Zhou J, Kaspari M, Helliker BR, Enquist BJ. 2015. Plant thermoregulation: Energetics, trait-environment interactions, and carbon economics. Trends in Ecology & Evolution 30:714-724."
1,10.71628723,7.955521451,"Michaletz ST, Weiser MD, Zhou J, Kaspari M, Helliker BR, Enquist BJ. 2015. Plant thermoregulation: Energetics, trait-environment interactions, and carbon economics. Trends in Ecology & Evolution 30:714-724."
1,13.968525,8.544946761,"Michaletz ST, Weiser MD, Zhou J, Kaspari M, Helliker BR, Enquist BJ. 2015. Plant thermoregulation: Energetics, trait-environment interactions, and carbon economics. Trends in Ecology & Evolution 30:714-724."
1,17.40839513,8.83243925,"Michaletz ST, Weiser MD, Zhou J, Kaspari M, Helliker BR, Enquist BJ. 2015. Plant thermoregulation: Energetics, trait-environment interactions, and carbon economics. Trends in Ecology & Evolution 30:714-724."
1,20.32437528,8.890641203,"Michaletz ST, Weiser MD, Zhou J, Kaspari M, Helliker BR, Enquist BJ. 2015. Plant thermoregulation: Energetics, trait-environment interactions, and carbon economics. Trends in Ecology & Evolution 30:714-724."
1,23.86996295,8.865532659,"Michaletz ST, Weiser MD, Zhou J, Kaspari M, Helliker BR, Enquist BJ. 2015. Plant thermoregulation: Energetics, trait-environment interactions, and carbon economics. Trends in Ecology & Evolution 30:714-724."
1,27.73875364,8.491914922,"Michaletz ST, Weiser MD, Zhou J, Kaspari M, Helliker BR, Enquist BJ. 2015. Plant thermoregulation: Energetics, trait-environment interactions, and carbon economics. Trends in Ecology & Evolution 30:714-724."
1,31.97532514,7.746785452,"Michaletz ST, Weiser MD, Zhou J, Kaspari M, Helliker BR, Enquist BJ. 2015. Plant thermoregulation: Energetics, trait-environment interactions, and carbon economics. Trends in Ecology & Evolution 30:714-724."
1,35.04093043,7.061104196,"Michaletz ST, Weiser MD, Zhou J, Kaspari M, Helliker BR, Enquist BJ. 2015. Plant thermoregulation: Energetics, trait-environment interactions, and carbon economics. Trends in Ecology & Evolution 30:714-724."
2,9.90004425,3.502133029,"Michaletz ST, Weiser MD, Zhou J, Kaspari M, Helliker BR, Enquist BJ. 2015. Plant thermoregulation: Energetics, trait-environment interactions, and carbon economics. Trends in Ecology & Evolution 30:714-724."
2,13.0018802,3.722993126,"Michaletz ST, Weiser MD, Zhou J, Kaspari M, Helliker BR, Enquist BJ. 2015. Plant thermoregulation: Energetics, trait-environment interactions, and carbon economics. Trends in Ecology & Evolution 30:714-724."
2,16.6547568,4.077797787,"Michaletz ST, Weiser MD, Zhou J, Kaspari M, Helliker BR, Enquist BJ. 2015. Plant thermoregulation: Energetics, trait-environment interactions, and carbon economics. Trends in Ecology & Evolution 30:714-724."
2,20.15079193,4.376220218,"Michaletz ST, Weiser MD, Zhou J, Kaspari M, Helliker BR, Enquist BJ. 2015. Plant thermoregulation: Energetics, trait-environment interactions, and carbon economics. Trends in Ecology & Evolution 30:714-724."
2,23.55798111,4.442135493,"Michaletz ST, Weiser MD, Zhou J, Kaspari M, Helliker BR, Enquist BJ. 2015. Plant thermoregulation: Energetics, trait-environment interactions, and carbon economics. Trends in Ecology & Evolution 30:714-724."
2,27.20037168,4.596071966,"Michaletz ST, Weiser MD, Zhou J, Kaspari M, Helliker BR, Enquist BJ. 2015. Plant thermoregulation: Energetics, trait-environment interactions, and carbon economics. Trends in Ecology & Evolution 30:714-724."
2,31.54369634,4.367071956,"Michaletz ST, Weiser MD, Zhou J, Kaspari M, Helliker BR, Enquist BJ. 2015. Plant thermoregulation: Energetics, trait-environment interactions, and carbon economics. Trends in Ecology & Evolution 30:714-724."
2,34.53682429,4.115520452,"Michaletz ST, Weiser MD, Zhou J, Kaspari M, Helliker BR, Enquist BJ. 2015. Plant thermoregulation: Energetics, trait-environment interactions, and carbon economics. Trends in Ecology & Evolution 30:714-724."
2,38.29945679,3.196788198,"Michaletz ST, Weiser MD, Zhou J, Kaspari M, Helliker BR, Enquist BJ. 2015. Plant thermoregulation: Energetics, trait-environment interactions, and carbon economics. Trends in Ecology & Evolution 30:714-724."
