Taxon#,Order,Family,Genus,Species,Tb,Mean_Mass,SD_Mass,Mean_BMR,SD_BMR
662,Rodentia,Cricetidae,Abrothrix,andinus,37.7,28.7,4,50.4,6.5
618,Rodentia,Cricetidae,Abrothrix,longipilis,37.4,42.3,3.1,57.5,5.9
633,Rodentia,Cricetidae,Abrothrix,olivaceus,37.2,31.2,8.2,54.3,18.8
2805,Carnivora,Felidae,Acinonyx,jubatus,39,37900,5520,8982.3,375.2
70,Rodentia,Muridae,Acomys,cahirinus,37.5,42.4,9.3,47.5,26.7
79,Rodentia,Muridae,Acomys,russatus,37.3,52.4,9.9,41,12.8
80,Rodentia,Muridae,Acomys,spinosissimus,36.4,27,6.6,44.1,14.7
81,Rodentia,Muridae,Acomys,subspinosus,37.4,32.3,9.6,83.6,37.5
1674,Rodentia,Octodontidae,Aconaemys,fuscus,37.3,112,,121,2.7
4253,Diprotodontia,Acrobatidae,Acrobates,pygmaeus,34.7,14,1.9,15.1,1
4301,Diprotodontia,Potoroidae,Aepyprymnus,rufescens,36.5,2940,343.6‡,1247.1,121.2‡
2695,Carnivora,Ailuridae,Ailurus,fulgens,37.6,5740,,878.2,
625,Rodentia,Cricetidae,Akodon,azarae,37.7,24.9,6.8,28.6,11
2438,Artiodactyla,Cervidae,Alces,alces,38.6,360600,37600,58323.1,14753.7
2152,Primates,Atelidae,Alouatta,palliata,,4670,2036.5,2000.3,636.2
1026,Rodentia,Cricetidae,Alticola,argentatus,,37.4,3,120.1,10.5
4192,Afrosoricida,Chrysochloridae,Amblysomus,hottentotus,33.5,70.5,13.2,97.3,10.6
1733,Rodentia,Sciuridae,Ammospermophilus,leucurus,37.5,88.5,10.7,113.4,16.3
3325,Chiroptera,Phyllostomidae,Anoura,caudifer,36.5,11.5,,35.1 _,7.9
3328,Chiroptera,Phyllostomidae,Anoura,latidens,38.1,13.6,,36.9,
4417,Dasyuromorphia,Dasyuridae,Antechinomys,laniger,35.8,26.1,1.4,25.3,3.6
4364,Dasyuromorphia,Dasyuridae,Antechinus,flavipes,35,44.9,7.4,119.8,26.9
4366,Dasyuromorphia,Dasyuridae,Antechinus,stuartii,35.1,32.9,9.5,35.8,8
4369,Dasyuromorphia,Dasyuridae,Antechinus,swainsonii,36,66.9,,63.8,12.8
2484,Artiodactyla,Antilocapridae,Antilocapra,americana,,37800,,10573.7,132.2
3510,Chiroptera,Vespertilionidae,Antrozous,pallidus,37,22,2.6,18.5,1.3
2195,Primates,Aotidae,Aotus,trivirgatus,38,1015,186.6,452.9,37
1675,Rodentia,Aplodontiidae,Aplodontia,rufa,38,630,,277.2,23
149,Rodentia,Muridae,Apodemus,agrarius,,20.4,3,64.6,12.7
142,Rodentia,Muridae,Apodemus,argenteus,,15.7,3.3‡,49.3,8.5‡
150,Rodentia,Muridae,Apodemus,chevrieri,36.5,32.6,,87.9,16.3
154,Rodentia,Muridae,Apodemus,flavicollis,36.7,23.4,2.7,42.4,3
151,Rodentia,Muridae,Apodemus,mystacinus,35.5,40,3.4‡,60.3,5.7‡
148,Rodentia,Muridae,Apodemus,speciosus,,34.2,7.0‡,53.7,8.2‡
160,Rodentia,Muridae,Apodemus,sylvaticus,36.7,20.9,1.5,55.9,4.3
156,Rodentia,Muridae,Apodemus,witherbyi,37,20.5,2.1,50,5.7
1059,Rodentia,Cricetidae,Arborimus,longicaudus,37.3,21.8,1.6,58.9,8.9
2869,Carnivora,Viverridae,Arctictis,binturong,36.7,14280,84.9,1128.1,399.8
2269,Primates,Lorisidae,Arctocebus,calabarensis,,206,12.7,158.2,20.6
2872,Carnivora,Viverridae,Arctogalidia,trivirgata,36.2,2010,60,552.8,160
3369,Chiroptera,Phyllostomidae,Artibeus,cinereus,34.9,10.5_ _,,24.6,2
3372,Chiroptera,Phyllostomidae,Artibeus,concolor,35.3,19.7,,32.9 _,6.5
3373,Chiroptera,Phyllostomidae,Artibeus,fimbriatus,,63.9,,78,
3380,Chiroptera,Phyllostomidae,Artibeus,hirsutus,34.3,48.5,,126.1,
3375,Chiroptera,Phyllostomidae,Artibeus,jamaicensis,36.4,45.2,,56.5 _,14.9
3376,Chiroptera,Phyllostomidae,Artibeus,lituratus,37.3,70.1,,84.8 _,35.8
1064,Rodentia,Cricetidae,Arvicola,amphibius,37.5,97.5,2.2,113.1,27.3
3863,Erinaceomorpha,Erinaceidae,Atelerix,albiventris,35.2,450,,146.7,19.5
666,Rodentia,Cricetidae,Auliscomys,boliviensis,36.3,76.8,11,110.6,15.4
892,Rodentia,Cricetidae,Baiomys,taylori,36,7.3,1.6,14.2,2.8
2687,Carnivora,Procyonidae,Bassariscus,astutus,,860.7,,384.5,
2688,Carnivora,Procyonidae,Bassariscus,sumichrasti,38.8,1287.3,133,631.8,51.8
1653,Rodentia,Bathyergidae,Bathyergus,janetta,34.7,732,183.2,330.9,58.4
1652,Rodentia,Bathyergidae,Bathyergus,suillus,35.3,406.3,69.4,218.1,14.3
4302,Diprotodontia,Potoroidae,Bettongia,gaimardi,35.6,2021.1,721.1,930,149.3
4304,Diprotodontia,Potoroidae,Bettongia,penicillata,37.2,990.4,46.8,659.9,
4117,Soricomorpha,Soricidae,Blarina,brevicauda,38.3,19.8,2.2,53.9,4.9
4116,Soricomorpha,Soricidae,Blarina,carolinensis,36.8,10.2,,33.3,4.4
2419,Artiodactyla,Bovidae,Bos,taurus,,193000,26250,33700.4,2829.4
1973,Lagomorpha,Leporidae,Brachylagus,idahoensis,38.7,432,40,384.5,41.5
4161,Pilosa,Bradypodidae,Bradypus,variegatus,33,3450,893,666.3,109.8
4296,Diprotodontia,Burramyidae,Burramys,parvus,36.1,44.3,13.8,36.8,6.2
4176,Cingulata,Dasypodidae,Cabassous,centralis,33.6,3810,,811.5,103.3
2198,Primates,Cebidae,Callimico,goeldii,,553.7,75.1,281.4,52.5
2206,Primates,Cebidae,Callithrix,jacchus,38.7,190,,157.7,7.6
2201,Primates,Cebidae,Callithrix,pygmaea,,140.6,18.9,99.8,19.4
2710,Carnivora,Otariidae,Callorhinus,ursinus,,31730,,21487.3,
702,Rodentia,Cricetidae,Calomys,callosus,,48,,78.2,14.8
705,Rodentia,Cricetidae,Calomys,lepidus,,16,,25.9,6.2
