SpecName,Circumference inches,Height feet,Spread feet,Diameter (in),,Height(in),Spread (in),Class,Name_matched_accepted_family,Genus_matched,Specific_epithet_matched
Avicennia germinans,101,43,57,32.15,,516,684,Angiosperm,Acanthaceae,Avicennia,germinans
Viburnum prunifolium,64,24,28,20.37,,288,336,Angiosperm,Adoxaceae,Viburnum,prunifolium
Viburnum prunifolium,64,24,33,20.37,,288,396,Angiosperm,Adoxaceae,Viburnum,prunifolium
Viburnum rufidulum,47,30,28,14.96,,360,336,Angiosperm,Adoxaceae,Viburnum,rufidulum
Viburnum trilobum,10,32,31,3.18,,384,372,Angiosperm,Adoxaceae,Viburnum,trilobum
Viburnum trilobum,18,25,25,5.73,,300,300,Angiosperm,Adoxaceae,Viburnum,trilobum
Viburnum trilobum,10,32,31,3.18,,384,372,Angiosperm,Adoxaceae,Viburnum,trilobum
Sambucus callicarpa,48,36,29,15.28,,432,348,Angiosperm,Adoxaceae,Sambucus,callicarpa
Sambucus callicarpa,56,27,32,17.83,,324,384,Angiosperm,Adoxaceae,Sambucus,callicarpa
Sambucus mexicana,134,33,44,42.65,,396,528,Angiosperm,Adoxaceae,Sambucus,mexicana
Sambucus canadensis var. laciniata,26,18,12,8.28,,216,144,Angiosperm,Adoxaceae,Sambucus,canadensis
Sambucus cerulea,156,45,40,49.66,,540,480,Angiosperm,Adoxaceae,Sambucus,cerulea
Sambucus melanocarpa,39,42,30,12.41,,504,360,Angiosperm,Adoxaceae,Sambucus,melanocarpa
Sambucus canadensis var. canadensis,38,16,22,12.1,,192,264,Angiosperm,Adoxaceae,Sambucus,canadensis
Viburnum lentago,34,50,40,10.82,,600,480,Angiosperm,Adoxaceae,Viburnum,lentago
Viburnum nudum,9,23,13,2.86,,276,156,Angiosperm,Adoxaceae,Viburnum,
Viburnum nudum,11,19,11,3.5,,228,132,Angiosperm,Adoxaceae,Viburnum,
Viburnum nudum,10,22,8,3.18,,264,96,Angiosperm,Adoxaceae,Viburnum,
Viburnum obovatum,22,32,31,7,,384,372,Angiosperm,Adoxaceae,Viburnum,obovatum
Liquidambar styraciflua,278,136,66,88.49,,1632,792,Angiosperm,Altingiaceae,Liquidambar,styraciflua
Mangifera indica,346,94,91,110.14,,1128,1092,Angiosperm,Anacardiaceae,Mangifera,indica
Schinus molle,367,57,72,116.82,,684,864,Angiosperm,Anacardiaceae,Schinus,molle
Schinus terebinthifolia,166,35,52,52.84,,420,624,Angiosperm,Anacardiaceae,Schinus,terebinthifolia
Toxicodendron vernix,18,30,19,5.73,,360,228,Angiosperm,Anacardiaceae,Toxicodendron,vernix
Toxicodendron vernix,23,23,21,7.32,,276,252,Angiosperm,Anacardiaceae,Toxicodendron,vernix
Metopium toxiferum,81,39,32,25.78,,468,384,Angiosperm,Anacardiaceae,Metopium,toxiferum
Cotinus obovatus,95,39,38,30.24,,468,456,Angiosperm,Anacardiaceae,Cotinus,obovatus
Cotinus obovatus,104,32,43,33.1,,384,516,Angiosperm,Anacardiaceae,Cotinus,obovatus
Rhus virens,36,12,17,11.46,,144,204,Angiosperm,Anacardiaceae,Rhus,virens
Rhus choriophylla,24,20,19,7.64,,240,228,Angiosperm,Anacardiaceae,Rhus,choriophylla
Rhus lanceolata,48,23,35,15.28,,276,420,Angiosperm,Anacardiaceae,Rhus,lanceolata
